=== entity_prefab/Base dims 94 8
0 ['缂栧彿\n锛堟寜搴忛€掑锛屼笉瑕佸垎娈碉級', '濉〃璇存槑(涓嶅鍑?', '瀹炰綋绫诲瀷', 'model_prefab', '鍚嶅瓧', '鍦板浘UI鍥炬爣id', '绉诲姩閫熷害', '浜や簰id']
26 ['8027', '浜や簰娴嬭瘯锛堜笉瑕佺敤锛?, 'WorldNonPlayer', '1012', '浜や簰娴嬭瘯', '', '', '']
27 ['8028', '鍊欓€夋椂鐨勬礊搴滃叆鍙?, 'CandidateResidenceEntryEntity', '22070', '娲炲ぉ绂忔礊锛堢┖锛?, '4005', '', '']
28 ['8029', '閫夋嫨鍑虹敓宸?, 'StateChooseEntity', '1021', '鍑虹敓宸為€夋嫨', '4007', '', '']
29 ['8030', '娲炲簻鍏ュ彛', 'ResidenceWorldEntryEntity', '1046', '娲炲簻澶т笘鐣屽叆鍙?, '4005', '', '']
30 ['9000', '甯淳鏀诲煄杞︼紙鐏靛吔鎺ㄨ溅锛?, 'WorldSiegeCart', '1012', '', '', '6', '']
31 ['25001001', '浠诲姟鎴樻枟娴嬭瘯', 'WorldNonPlayer', '1021', '', '', '', '10010']
32 ['25001002', '浠诲姟鎴樻枟娴嬭瘯', 'WorldNonPlayer', '1021', '', '', '', '10011']
33 ['35001001', '缁冩皵鏈ㄦ々', 'WorldNonPlayer', '1033', '缁冩皵鏈ㄦ々', '4008', '', '10012']
34 ['35001002', '绛戝熀鏈ㄦ々', 'WorldNonPlayer', '1033', '绛戝熀鏈ㄦ々', '4008', '', '10013']
35 ['35001003', '閲戜腹鏈ㄦ々', 'WorldNonPlayer', '1033', '閲戜腹鏈ㄦ々', '4008', '', '10014']
36 ['35001004', '鍏冨┐鏈ㄦ々', 'WorldNonPlayer', '1033', '鍏冨┐鏈ㄦ々', '4008', '', '10015']
37 ['35001005', '鍖栫鏈ㄦ々', 'WorldNonPlayer', '1033', '鍖栫鏈ㄦ々', '4008', '', '10016']
38 ['100011000', '浣庣骇鐏佃剦', 'WorldInteractiveObject', '1031', '浣庣骇鐏佃剦', '4006', '', '10020']
39 ['100011001', '涓骇鐏佃剦', 'WorldInteractiveObject', '1031', '涓骇鐏佃剦', '4006', '', '10021']
40 ['100011002', '楂樼骇鐏佃剦', 'WorldInteractiveObject', '1031', '楂樼骇鐏佃剦', '4006', '', '10022']
41 ['100081000', '娲炲簻鍑哄彛', 'WorldInteractiveObject', '1030', '', '4005', '', '10023']
42 ['100081001', '娲炲簻浼犻€侀樀', 'WorldInteractiveObject', '1030', '', '4007', '', '10024']
43 ['100081002', '娲炲簻浼犻€侀樀', 'WorldInteractiveObject', '1030', '', '4007', '', '10025']
44 ['100090001', '鐏靛吔鎶藉', 'WorldNonPlayer', '1012', '鐏靛吔鎶藉', '4007', '', '10026']
45 ['100010000', '鑾峰彇娲炲簻', 'WorldNonPlayer', '1021', '娲炲簻鐧昏甯堝厔', '4007', '', '10017']
46 ['100010001', '鑾峰彇鍒嗚韩', 'WorldNonPlayer', '1021', '鍒嗚韩瀵煎笀', '4007', '', '10018']
47 ['100010002', '鏇存崲闂ㄦ淳', 'WorldNonPlayer', '1021', '鏇存崲闂ㄦ淳', '4007', '', '10019']
48 ['100010003', '鏀诲煄鎴樹紶閫佷汉', 'WorldNonPlayer', '1021', '鏀诲煄鎴樹紶閫佷汉', '4007', '', '10032']
49 ['100010004', '甯淳浠诲姟浣?, 'WorldNonPlayer', '1082', '闈掗緳鍫傛€荤', '4007', '', '10034']
50 ['100010005', '甯淳璧勯噾绠＄悊浜?, 'WorldNonPlayer', '1075', '鐧借檸鍫傛€荤', '4007', '', '10035']
51 ['100010006', '甯淳淇偧鎸囧浜?, 'WorldNonPlayer', '1085', '鏈遍泙鍫傛€荤', '4007', '', '10036']
52 ['100010007', '甯淳绂忓埄鎬荤', 'WorldNonPlayer', '1084', '鐜勬鍫傛€荤', '4007', '', '10037']
53 ['100010008', '甯淳鍏芥爮', 'WorldNonPlayer', '1076', '姣曠伒缈?, '4007', '', '10038']
54 ['100010009', '甯淳鐏甸榿', 'WorldNonPlayer', '1081', '鏌冲帰鍎?, '4007', '', '10039']
55 ['100010010', '甯淳閲戝簱', 'WorldNonPlayer', '1079', '閲戝畧涓?, '4007', '', '10040']
56 ['100010011', '甯淳涔﹂櫌', 'WorldNonPlayer', '1077', '椤句功鍚?, '4007', '', '10041']
57 ['100010012', '甯淳鍟嗗簵', 'WorldNonPlayer', '1080', '閲戠畻鐩?, '4007', '', '10042']
58 ['100010013', '鏀诲煄鎴樹紶閫佷汉(鎴樺満鍐?', 'WorldNonPlayer', '1021', '鏀诲煄鎴樹紶閫佷汉', '4007', '', '10043']
59 ['100010014', '鏀诲煄鎴樺煄闂?', 'WorldNonPlayer', '1021', '鍩庨棬', '4007', '', '10044']
60 ['100010015', '鏀诲煄鎴樺煄闂?', 'WorldNonPlayer', '1021', '鍩庨棬', '4007', '', '10045']
61 ['100010016', '鏀诲煄鎴樹富搴?, 'WorldNonPlayer', '1021', '涓诲簻', '4007', '', '10046']
62 ['100010017', '鏀诲煄鎴樺浘鑵?闈掗緳', 'WorldNonPlayer', '1021', '闈掗緳', '4007', '', '10047']
63 ['100010018', '鏀诲煄鎴樺浘鑵?鐧借檸', 'WorldNonPlayer', '1021', '鐧借檸', '4007', '', '10048']
64 ['100010019', '鏀诲煄鎴樺浘鑵?鏈遍泙', 'WorldNonPlayer', '1021', '鏈遍泙', '4007', '', '10049']
65 ['100010020', '鏀诲煄鎴樺浘鑵?鐜勬', 'WorldNonPlayer', '1021', '鐜勬', '4007', '', '10050']
66 ['100010021', '鏀诲煄宸ㄥ吔', 'WorldNonPlayer', '1118', '鏀诲煄宸ㄥ吔', '4007', '', '10051']
67 ['100010022', '鑳滃埄瀹濈', 'WorldNonPlayer', '1021', '鑳滃埄瀹濈', '4007', '', '10052']
68 ['100010023', '搴嗚春瀹濈', 'WorldNonPlayer', '1021', '搴嗚春瀹濈', '4007', '', '10053']
69 ['100010024', '甯淳鑱氫箟鍘?, 'WorldNonPlayer', '1078', '绠′笘鏂?, '4007', '', '10054']
70 ['100010025', '鍒囨崲蹇冩硶', 'WorldNonPlayer', '1021', '鍒囨崲蹇冩硶', '4007', '', '10058']
71 ['100010026', '鍒涘缓甯淳', 'WorldNonPlayer', '1021', '瀹楅棬鐧昏', '4007', '', '10059']
72 ['10013111001', '浣庣骇鐏佃剦', 'WorldInteractiveObject', '1031', '浣庣骇鐏佃剦', '4006', '', '10027']
73 ['10013112001', '浣庣骇鐏佃剦', 'WorldInteractiveObject', '1031', '浣庣骇鐏佃剦', '4006', '', '10028']
74 ['10013111000', '鑾峰彇娲炲簻', 'WorldNonPlayer', '1021', '娴锋磱娲炲簻甯堝厔', '4007', '', '10029']
75 ['10013111002', '娓歌崱鎬墿', 'WorldNonPlayer', '1032', '娓歌崱鎬墿', '4008', '', '10030']
76 ['10013112002', '娓歌崱鎬墿', 'WorldNonPlayer', '1033', '娓歌崱鎬墿', '4008', '', '10031']
77 ['100181000', '娲炲簻鍑哄彛', 'WorldInteractiveObject', '1030', '', '4005', '', '10023']
78 ['100191000', '鍩庡競鍦熷湴', 'WorldNonPlayer', '1021', '鍩庡競鍦熷湴', '4007', '', '10060']
79 ['100201001', '鍒囨崲蹇冩硶', 'WorldNonPlayer', '1021', '鍒囨崲蹇冩硶', '4007', '', '10058']
80 ['100201002', '鏇存崲闂ㄦ淳', 'WorldNonPlayer', '1021', '鏇存崲闂ㄦ淳', '4007', '', '10019']
81 ['100201003', '鑾峰彇鍒嗚韩', 'WorldNonPlayer', '1021', '鍒嗚韩瀵煎笀', '4007', '', '10018']
82 ['100201004', '鑾峰彇娲炲簻', 'WorldNonPlayer', '1021', '娲炲簻鐧昏甯堝厔', '4007', '', '10061']
83 ['100201005', '鍒涘缓甯淳', 'WorldNonPlayer', '1021', '瀹楅棬鐧昏', '4007', '', '10059']
84 ['100201006', '鐪熉锋礊搴滄帴寮曪紙澶辨晥锛?, 'StateChooseEntity', '1021', '鐪熸礊搴?, '4007', '', '']
85 ['100201007', '缁冩皵鏈ㄦ々', 'WorldNonPlayer', '1033', '缁冩皵鏈ㄦ々', '4008', '', '10012']
86 ['100201008', '绛戝熀鏈ㄦ々', 'WorldNonPlayer', '1033', '绛戝熀鏈ㄦ々', '4008', '', '10013']
87 ['100201009', '閲戜腹鏈ㄦ々', 'WorldNonPlayer', '1033', '閲戜腹鏈ㄦ々', '4008', '', '10014']
88 ['100201010', '鍏冨┐鏈ㄦ々', 'WorldNonPlayer', '1033', '鍏冨┐鏈ㄦ々', '4008', '', '10015']
89 ['100201011', '鍖栫鏈ㄦ々', 'WorldNonPlayer', '1033', '鍖栫鏈ㄦ々', '4008', '', '10016']
90 ['100201012', '浣庣骇鐏佃剦', 'WorldInteractiveObject', '1031', '浣庣骇鐏佃剦', '4006', '', '10027']
91 ['100201013', '浣庣骇鐏佃剦', 'WorldInteractiveObject', '1031', '浣庣骇鐏佃剦', '4006', '', '10028']
92 ['100201014', '娓歌崱鎬墿', 'WorldNonPlayer', '1032', '娓歌崱鎬墿', '4008', '', '10030']
93 ['100201015', '娓歌崱鎬墿', 'WorldNonPlayer', '1033', '娓歌崱鎬墿', '4008', '', '10031']
